registro_id,obra_id,data_registro,requisicao_id,empreiteiro_id,fornecedor_id,tipo_obra,fase_obra,ambiente,servico,complexidade_execucao,necessidade_corte_ajuste,material,tipo_item_material,unidade_medida,material_fragil,material_modular,custo_unitario,quantidade_teorica,indice_perda_orcado,quantidade_orcada,compra_emergencial,pressao_prazo,qtd_frentes_simultaneas,quantidade_real_consumida,quantidade_sobra_reaproveitavel,quantidade_perdida_nao_reaproveitavel,houve_retrabalho_real,motivo_principal_perda,indice_perda_real,custo_perda_real,risco_perda_real
REG_00012,OBRA_022,2025-02-08,REQ_00317,EMP_044,FORN_022,industrial,acabamento,interno,esquadrias_metal_vidro,alta,alta,esquadria_aluminio,principal,m2,1,1,595.39,1454.7,0.0369,1508.31,0,baixa,7,1707.75,31.89,221.16,1,retrabalho,0.174,131679.24,alto
REG_00013,OBRA_010,2025-06-05,REQ_00429,EMP_024,FORN_015,comercial,acabamento,externo,forro,baixa,alta,placa_forro_mineral,principal,m2,1,1,80.52,200.34,0.0438,209.11,0,media,6,220.18,4.54,15.29,0,quebra_dano,0.099,1231.34,medio
REG_00014,OBRA_020,2025-03-29,REQ_00698,EMP_017,FORN_078,industrial,fechamento,interno,vedacao_alvenaria,media,alta,bloco_concreto,principal,un,1,1,5.03,1810.62,0.0384,1880.09,1,alta,5,2030.88,69.26,151.0,0,perda_nao_identificada,0.1216,759.55,medio
REG_00015,OBRA_008,2025-03-05,REQ_00188,EMP_030,FORN_021,residencial,acabamento,interno,esquadrias_metal_vidro,media,media,esquadria_aluminio,principal,m2,1,1,609.68,1995.87,0.0398,2075.22,0,media,3,2141.02,21.77,123.38,0,erro_execucao,0.0727,75220.83,medio
REG_00016,OBRA_013,2025-08-27,REQ_02277,EMP_022,FORN_025,comercial,fechamento,cobertura,cobertura,media,media,calha,acessorio,m,0,1,26.69,1758.78,0.041,1830.84,1,alta,6,1914.01,42.25,112.98,0,perda_nao_identificada,0.0883,3015.4,medio
REG_00017,OBRA_003,2025-02-15,REQ_01911,EMP_017,FORN_015,comercial,fechamento,externo,impermeabilizacao,alta,media,primer_impermeabilizante,consumivel,l,0,0,18.06,1065.99,0.0469,1116.03,1,media,4,1175.86,45.51,64.36,0,sobra_nao_reaproveitavel,0.1031,1162.41,medio
REG_00018,OBRA_004,2025-07-20,REQ_00916,EMP_021,FORN_059,residencial,acabamento,fachada,esquadrias_metal_vidro,alta,media,vidro,principal,m2,1,1,236.16,765.43,0.0443,799.3,1,media,7,844.76,9.5,69.82,0,recorte_ajuste,0.1036,16489.44,medio
REG_00019,OBRA_017,2025-03-24,REQ_01971,EMP_048,FORN_053,residencial,fundacao,cobertura,fundacao,baixa,alta,brita,consumivel,m3,0,0,133.6,2263.25,0.042,2358.27,1,alta,5,2469.13,47.26,158.62,0,consumo_acima_previsto,0.091,21191.58,medio
REG_00020,OBRA_029,2025-03-12,REQ_02280,EMP_051,FORN_071,residencial,acabamento,interno,pintura,alta,media,tinta_acrilica,principal,l,0,0,17.35,962.14,0.0592,1019.14,1,media,2,1065.02,42.39,60.49,0,sobra_nao_reaproveitavel,0.1069,1049.59,medio
REG_00021,OBRA_017,2025-04-24,REQ_02471,EMP_016,FORN_027,industrial,instalacoes,interno,instalacoes_hidrossanitarias,alta,media,conexao_pvc,acessorio,un,0,0,13.33,2317.23,0.0781,2498.18,0,alta,4,2592.15,46.33,228.58,0,quebra_dano,0.1186,3047.02,medio
REG_00022,OBRA_021,2025-07-21,REQ_00437,EMP_011,FORN_083,comercial,acabamento,externo,esquadrias_madeira,alta,alta,batente_madeira,principal,un,0,1,271.39,431.68,0.0309,445.04,0,media,1,474.17,9.61,32.87,0,consumo_acima_previsto,0.0984,8921.47,medio
REG_00023,OBRA_022,2025-04-07,REQ_00056,EMP_048,FORN_009,industrial,acabamento,interno,pintura,media,baixa,selador,consumivel,l,0,0,9.44,1374.79,0.0582,1454.74,0,media,6,1508.49,19.8,113.9,0,recorte_ajuste,0.0973,1075.22,medio
REG_00024,OBRA_026,2025-08-12,REQ_00865,EMP_057,FORN_082,comercial,instalacoes,interno,instalacoes_eletricas,media,alta,disjuntor,acessorio,un,1,0,79.77,195.39,0.0171,198.74,0,media,4,213.06,2.47,15.2,0,sobra_nao_reaproveitavel,0.0904,1212.27,medio
REG_00025,OBRA_028,2025-06-28,REQ_02400,EMP_016,FORN_002,comercial,acabamento,interno,esquadrias_madeira,baixa,alta,porta_madeira,principal,un,1,1,481.02,654.29,0.054,689.63,0,media,3,711.77,14.72,42.76,0,alteracao_projeto,0.0879,20569.33,medio
REG_00026,OBRA_017,2025-04-21,REQ_01044,EMP_032,FORN_034,industrial,fechamento,interno,vedacao_alvenaria,alta,alta,bloco_ceramico,principal,un,1,1,2.37,2140.7,0.0617,2272.79,0,baixa,4,2562.66,167.07,254.89,1,retrabalho,0.1971,604.08,alto
REG_00027,OBRA_002,2025-03-05,REQ_01050,EMP_001,FORN_058,comercial,instalacoes,interno,instalacoes_eletricas,media,media,disjuntor,acessorio,un,1,0,36.3,2480.63,0.01,2505.44,1,media,1,2642.7,78.81,83.26,0,quebra_dano,0.0653,3022.22,baixo
REG_00028,OBRA_005,2025-06-28,REQ_00757,EMP_027,FORN_087,comercial,acabamento,externo,forro,media,media,perfil_forro,acessorio,m,0,1,6.38,754.25,0.0337,779.69,1,alta,4,827.76,18.1,55.41,0,erro_execucao,0.0975,353.51,medio
REG_00029,OBRA_024,2025-03-21,REQ_00443,EMP_001,FORN_067,industrial,fundacao,externo,fundacao,baixa,alta,forma_madeira,acessorio,m2,0,1,65.78,2375.19,0.0886,2585.67,1,media,6,2705.15,78.21,251.74,0,alteracao_projeto,0.1389,16559.78,alto
REG_00030,OBRA_026,2025-01-06,REQ_01121,EMP_033,FORN_041,comercial,acabamento,interno,esquadrias_madeira,baixa,media,porta_madeira,principal,un,1,1,429.53,1463.11,0.0587,1549.0,0,alta,5,1546.34,38.75,44.47,0,consumo_acima_previsto,0.0569,19102.65,baixo
REG_00031,OBRA_016,2025-01-21,REQ_01501,EMP_022,FORN_058,residencial,instalacoes,interno,instalacoes_hidrossanitarias,baixa,media,conexao_pvc,acessorio,un,0,0,24.29,896.14,0.0698,958.71,0,media,1,950.64,16.33,38.17,0,consumo_acima_previsto,0.0608,927.13,baixo
REG_00032,OBRA_017,2025-08-08,REQ_00838,EMP_033,FORN_074,comercial,fechamento,externo,vedacao_alvenaria,media,alta,bloco_ceramico,principal,un,1,1,1.69,121.29,0.0938,132.67,1,alta,3,136.23,1.43,13.51,0,recorte_ajuste,0.1232,22.84,medio
REG_00033,OBRA_007,2025-03-12,REQ_01454,EMP_003,FORN_071,industrial,fundacao,cobertura,fundacao,baixa,baixa,brita,consumivel,m3,0,0,151.7,610.61,0.0678,651.98,0,media,5,655.37,3.64,41.12,0,quebra_dano,0.0733,6237.88,medio
REG_00034,OBRA_028,2025-05-15,REQ_01994,EMP_035,FORN_010,comercial,acabamento,interno,esquadrias_madeira,baixa,media,fechadura,acessorio,un,0,0,87.02,1295.81,0.0184,1319.63,0,media,6,1386.81,19.91,71.09,0,consumo_acima_previsto,0.0702,6186.21,medio
REG_00035,OBRA_026,2025-05-24,REQ_01668,EMP_038,FORN_040,industrial,estrutura,externo,estrutura_concreto,alta,alta,aco_vergalhao,principal,kg,0,1,5.38,1903.2,0.0388,1977.11,1,media,4,2175.23,50.84,221.2,0,sobra_nao_reaproveitavel,0.1429,1190.04,alto
REG_00036,OBRA_006,2025-06-27,REQ_01116,EMP_003,FORN_062,residencial,acabamento,interno,esquadrias_madeira,baixa,baixa,fechadura,acessorio,un,0,0,93.61,2457.02,0.0194,2504.77,0,media,1,2510.85,6.11,47.72,0,erro_execucao,0.0219,4467.53,baixo
REG_00037,OBRA_006,2025-04-18,REQ_01971,EMP_021,FORN_025,industrial,fechamento,externo,vedacao_drywall,media,alta,massa_junta,consumivel,kg,0,0,2.85,715.51,0.0692,765.02,0,alta,2,808.29,17.18,75.6,0,recorte_ajuste,0.1297,215.47,medio
REG_00038,OBRA_007,2025-01-13,REQ_00788,EMP_026,FORN_086,residencial,instalacoes,interno,instalacoes_hidrossanitarias,alta,alta,tubo_pvc_agua,principal,m,0,1,7.14,1448.38,0.0431,1510.78,0,media,7,1638.68,0.0,190.3,0,quebra_dano,0.1314,1358.77,alto
REG_00039,OBRA_003,2025-04-02,REQ_02028,EMP_015,FORN_082,residencial,fechamento,cobertura,cobertura,media,alta,parafuso_fixador,acessorio,un,0,0,3.07,1304.96,0.0752,1403.1,1,alta,6,1513.47,43.82,164.69,0,sobra_nao_reaproveitavel,0.1598,505.59,alto
REG_00040,OBRA_024,2025-05-07,REQ_02341,EMP_041,FORN_086,comercial,fundacao,externo,fundacao,media,media,concreto,principal,m3,0,0,317.18,847.33,0.0191,863.49,0,media,4,917.75,8.15,62.27,0,quebra_dano,0.0831,19750.47,medio
REG_00041,OBRA_014,2025-04-19,REQ_01016,EMP_021,FORN_043,comercial,fechamento,interno,vedacao_alvenaria,alta,alta,bloco_ceramico,principal,un,1,1,2.71,1452.66,0.0858,1577.35,0,alta,6,1684.77,35.71,196.4,0,recorte_ajuste,0.1598,532.23,alto
REG_00042,OBRA_002,2025-04-09,REQ_00118,EMP_046,FORN_011,industrial,fundacao,externo,fundacao,baixa,media,concreto,principal,m3,0,0,492.84,1672.65,0.0406,1740.53,1,alta,7,1881.75,63.16,145.94,0,alteracao_projeto,0.125,71926.03,medio
REG_00043,OBRA_014,2025-04-30,REQ_01366,EMP_047,FORN_017,residencial,estrutura,cobertura,estrutura_metalica,alta,media,chapa_aco,principal,kg,0,1,11.11,1415.86,0.0633,1505.48,0,alta,2,1574.02,73.65,84.5,0,erro_execucao,0.1117,938.81,medio
REG_00044,OBRA_021,2025-06-27,REQ_02322,EMP_042,FORN_029,industrial,instalacoes,interno,instalacoes_eletricas,media,alta,quadro_eletrico,principal,un,1,0,125.73,94.1,0.0185,95.84,0,media,2,99.06,1.33,3.63,0,consumo_acima_previsto,0.0527,456.53,baixo
REG_00045,OBRA_006,2025-01-02,REQ_00717,EMP_052,FORN_083,comercial,acabamento,interno,pintura,alta,baixa,selador,consumivel,l,0,0,8.83,2272.01,0.0666,2423.27,0,baixa,2,2508.17,54.8,181.36,0,recorte_ajuste,0.1039,1601.42,medio
REG_00046,OBRA_001,2025-06-21,REQ_00061,EMP_046,FORN_036,residencial,acabamento,externo,revestimento_piso_parede,media,alta,piso_ceramico,principal,m2,1,1,57.12,2259.8,0.0792,2438.68,0,media,4,2807.41,148.5,399.12,1,retrabalho,0.2423,22797.46,alto
REG_00047,OBRA_016,2025-03-28,REQ_00304,EMP_029,FORN_048,comercial,instalacoes,externo,instalacoes_eletricas,alta,baixa,quadro_eletrico,principal,un,1,0,152.51,2258.79,0.0309,2328.63,0,media,3,2280.21,3.83,17.59,0,recorte_ajuste,0.0095,2682.41,baixo
REG_00048,OBRA_023,2025-02-18,REQ_00547,EMP_014,FORN_063,residencial,fechamento,externo,impermeabilizacao,alta,media,primer_impermeabilizante,consumivel,l,0,0,19.81,1232.8,0.0592,1305.84,0,alta,3,1361.39,39.09,89.49,0,erro_execucao,0.1043,1772.87,medio
REG_00049,OBRA_017,2025-07-31,REQ_00716,EMP_005,FORN_020,residencial,fechamento,interno,vedacao_alvenaria,alta,media,argamassa_assentamento,consumivel,kg,0,0,1.43,1447.1,0.0959,1585.93,1,alta,3,1636.37,39.75,149.52,0,erro_execucao,0.1308,213.81,alto
REG_00050,OBRA_019,2025-06-07,REQ_00172,EMP_030,FORN_031,comercial,fechamento,cobertura,cobertura,alta,media,parafuso_fixador,acessorio,un,0,0,3.79,688.26,0.0882,748.93,0,alta,1,757.49,14.7,54.54,0,sobra_nao_reaproveitavel,0.1006,206.69,medio
REG_00051,OBRA_009,2025-07-20,REQ_00925,EMP_035,FORN_058,residencial,estrutura,externo,estrutura_concreto,media,alta,aco_vergalhao,principal,kg,0,1,6.92,2141.23,0.0578,2265.07,0,media,2,2365.87,49.25,175.39,0,sobra_nao_reaproveitavel,0.1049,1213.7,medio
REG_00052,OBRA_012,2025-07-03,REQ_01423,EMP_021,FORN_078,residencial,instalacoes,externo,instalacoes_hidrossanitarias,alta,media,tubo_pvc_agua,principal,m,0,1,7.01,2000.38,0.0545,2109.49,0,baixa,6,2313.31,69.42,243.52,1,retrabalho,0.1564,1707.04,alto
REG_00053,OBRA_027,2025-01-09,REQ_00022,EMP_017,FORN_010,residencial,fundacao,externo,fundacao,media,media,brita,consumivel,m3,0,0,183.39,1505.32,0.0776,1622.13,0,alta,1,1635.34,71.11,58.92,1,retrabalho,0.0864,10805.0,medio
REG_00054,OBRA_014,2025-01-21,REQ_00183,EMP_019,FORN_020,residencial,acabamento,externo,esquadrias_madeira,media,alta,porta_madeira,principal,un,1,1,775.0,778.35,0.0217,795.25,1,alta,4,821.35,12.82,30.17,0,quebra_dano,0.0552,23384.33,baixo
REG_00055,OBRA_029,2025-01-13,REQ_00387,EMP_023,FORN_022,industrial,acabamento,interno,esquadrias_madeira,alta,media,batente_madeira,principal,un,0,1,224.7,1607.3,0.0389,1669.81,0,baixa,7,1803.92,42.62,154.0,1,retrabalho,0.1223,34603.85,medio
REG_00056,OBRA_005,2025-03-10,REQ_02457,EMP_039,FORN_048,residencial,instalacoes,externo,instalacoes_incendio,baixa,media,conexao_incendio,acessorio,un,0,0,44.12,2275.15,0.0348,2354.43,0,alta,4,2440.77,12.33,153.29,0,recorte_ajuste,0.0728,6763.12,medio
REG_00057,OBRA_005,2025-07-05,REQ_02311,EMP_013,FORN_028,residencial,fundacao,externo,fundacao,media,baixa,brita,consumivel,m3,0,0,175.25,672.26,0.0542,708.68,0,baixa,4,713.54,1.64,39.64,0,quebra_dano,0.0614,6947.64,baixo
REG_00058,OBRA_025,2025-04-25,REQ_00205,EMP_059,FORN_089,comercial,acabamento,interno,revestimento_piso_parede,baixa,baixa,rejunte,acessorio,kg,0,0,23.83,2123.06,0.0653,2261.7,0,media,7,2242.35,24.29,95.0,0,recorte_ajuste,0.0562,2263.9,baixo
REG_00059,OBRA_012,2025-03-20,REQ_00556,EMP_059,FORN_015,comercial,acabamento,interno,pintura,media,alta,massa_corrida,principal,kg,0,0,3.09,656.0,0.074,704.53,0,media,1,717.22,3.0,58.22,0,recorte_ajuste,0.0933,179.9,medio
REG_00060,OBRA_011,2025-04-11,REQ_02217,EMP_010,FORN_054,comercial,fechamento,interno,vedacao_alvenaria,alta,baixa,bloco_concreto,principal,un,1,1,4.11,1616.74,0.0704,1730.56,0,media,7,1829.59,30.36,182.49,0,sobra_nao_reaproveitavel,0.1317,750.04,alto
REG_00061,OBRA_003,2025-07-22,REQ_02166,EMP_030,FORN_071,comercial,instalacoes,interno,instalacoes_eletricas,alta,media,cabo_eletrico,principal,m,0,0,4.21,1442.63,0.053,1519.04,0,baixa,2,1567.5,8.3,116.57,0,sobra_nao_reaproveitavel,0.0866,490.76,medio
REG_00062,OBRA_007,2025-01-06,REQ_00188,EMP_028,FORN_048,residencial,acabamento,interno,esquadrias_madeira,baixa,media,batente_madeira,principal,un,0,1,133.17,2304.88,0.0701,2466.5,0,media,6,2443.5,16.8,121.83,0,alteracao_projeto,0.0601,16223.73,baixo
REG_00063,OBRA_005,2025-01-17,REQ_01094,EMP_041,FORN_006,comercial,acabamento,interno,revestimento_piso_parede,alta,alta,porcelanato,principal,m2,1,1,115.79,1906.5,0.092,2081.88,0,media,7,2359.47,115.28,337.69,0,quebra_dano,0.2376,39100.98,alto
REG_00064,OBRA_024,2025-03-17,REQ_00820,EMP_047,FORN_072,industrial,acabamento,externo,esquadrias_madeira,media,baixa,fechadura,acessorio,un,0,0,83.39,999.3,0.0252,1024.47,0,media,4,1049.17,12.07,37.8,0,quebra_dano,0.0499,3151.99,baixo
REG_00065,OBRA_011,2025-02-11,REQ_01270,EMP_004,FORN_026,comercial,instalacoes,interno,instalacoes_hidrossanitarias,alta,alta,tubo_pvc_agua,principal,m,0,1,7.86,139.49,0.0616,148.09,0,media,1,154.64,4.71,10.44,0,quebra_dano,0.1086,82.06,medio
REG_00066,OBRA_001,2025-07-06,REQ_00212,EMP_018,FORN_052,residencial,instalacoes,interno,instalacoes_hidrossanitarias,media,media,conexao_pvc,acessorio,un,0,0,24.23,1773.99,0.0877,1929.58,1,alta,4,1939.39,33.3,132.1,0,sobra_nao_reaproveitavel,0.0932,3200.74,medio
REG_00067,OBRA_006,2025-06-12,REQ_00602,EMP_005,FORN_080,industrial,instalacoes,interno,instalacoes_eletricas,media,alta,disjuntor,acessorio,un,1,0,46.28,1525.65,0.0309,1572.72,1,media,6,1662.78,61.58,75.55,0,sobra_nao_reaproveitavel,0.0899,3496.37,medio
REG_00068,OBRA_011,2025-08-12,REQ_02149,EMP_001,FORN_014,industrial,fechamento,fachada,fachada_fechamento_externo,baixa,alta,telha_metalica_fechamento,principal,m2,0,1,72.94,2007.19,0.0639,2135.51,0,alta,7,2289.03,94.69,187.15,0,sobra_nao_reaproveitavel,0.1404,13650.87,alto
REG_00069,OBRA_013,2025-02-12,REQ_00465,EMP_022,FORN_001,residencial,fechamento,cobertura,impermeabilizacao,alta,media,manta_asfaltica,principal,m2,0,1,37.98,310.76,0.0912,339.11,0,alta,4,363.92,16.31,36.86,0,recorte_ajuste,0.1711,1399.8,alto
REG_00070,OBRA_014,2025-01-16,REQ_02072,EMP_038,FORN_045,industrial,estrutura,interno,estrutura_concreto,baixa,media,aco_vergalhao,principal,kg,0,1,6.66,1346.42,0.028,1384.1,0,baixa,7,1441.99,13.88,81.69,0,recorte_ajuste,0.071,544.04,medio
REG_00071,OBRA_011,2025-01-19,REQ_00035,EMP_029,FORN_022,comercial,fechamento,externo,impermeabilizacao,alta,media,argamassa_polimerica,principal,kg,0,0,3.43,2222.87,0.0645,2366.26,0,baixa,1,2431.82,9.51,199.45,0,consumo_acima_previsto,0.094,684.1,medio
REG_00072,OBRA_025,2025-07-17,REQ_00057,EMP_054,FORN_061,comercial,instalacoes,externo,instalacoes_eletricas,baixa,alta,quadro_eletrico,principal,un,1,0,164.05,1425.91,0.012,1442.97,1,media,4,1525.36,28.83,70.61,0,recorte_ajuste,0.0697,11583.98,baixo
REG_00073,OBRA_024,2025-04-06,REQ_00645,EMP_023,FORN_021,industrial,instalacoes,externo,instalacoes_incendio,baixa,media,conexao_incendio,acessorio,un,0,0,20.4,418.12,0.0446,436.75,1,media,7,454.38,9.67,26.59,0,recorte_ajuste,0.0867,542.41,medio
REG_00074,OBRA_005,2025-04-21,REQ_01425,EMP_003,FORN_048,comercial,fechamento,interno,impermeabilizacao,media,media,argamassa_polimerica,principal,kg,0,0,2.83,507.51,0.0658,540.89,0,baixa,4,559.02,18.79,32.72,0,consumo_acima_previsto,0.1015,92.61,medio
REG_00075,OBRA_011,2025-05-10,REQ_00114,EMP_005,FORN_003,industrial,fundacao,interno,fundacao,alta,baixa,brita,consumivel,m3,0,0,145.42,410.8,0.0456,429.53,0,media,4,452.85,14.5,27.55,0,erro_execucao,0.1024,4005.85,medio
REG_00076,OBRA_004,2025-01-27,REQ_01519,EMP_020,FORN_040,comercial,acabamento,interno,pintura,media,baixa,selador,consumivel,l,0,0,7.56,160.11,0.0592,169.58,0,media,2,173.46,6.31,7.05,0,sobra_nao_reaproveitavel,0.0834,53.26,medio
REG_00077,OBRA_018,2025-01-08,REQ_01467,EMP_014,FORN_028,industrial,acabamento,interno,esquadrias_madeira,media,alta,porta_madeira,principal,un,1,1,781.66,1167.05,0.0391,1212.63,0,baixa,2,1238.21,6.69,64.48,0,consumo_acima_previsto,0.061,50397.77,baixo
REG_00078,OBRA_022,2025-08-25,REQ_01900,EMP_012,FORN_066,comercial,estrutura,cobertura,estrutura_metalica,media,media,parafuso_fixador,acessorio,un,0,0,2.63,2200.87,0.0693,2353.28,0,media,7,2478.51,78.77,198.87,0,recorte_ajuste,0.1262,523.03,medio
REG_00079,OBRA_005,2025-01-28,REQ_01876,EMP_003,FORN_046,residencial,instalacoes,externo,instalacoes_hidrossanitarias,media,media,conexao_pvc,acessorio,un,0,0,3.12,883.52,0.0639,939.98,0,media,3,980.35,59.55,37.29,0,quebra_dano,0.1096,116.33,medio
REG_00080,OBRA_004,2025-02-04,REQ_02109,EMP_058,FORN_046,comercial,estrutura,interno,estrutura_metalica,baixa,media,chumbador,acessorio,un,0,0,11.12,976.1,0.0513,1026.13,0,media,2,1046.32,21.81,48.42,0,consumo_acima_previsto,0.0719,538.38,medio
REG_00081,OBRA_019,2025-03-15,REQ_01373,EMP_049,FORN_006,comercial,fechamento,fachada,fachada_fechamento_externo,baixa,alta,telha_metalica_fechamento,principal,m2,0,1,48.7,1157.16,0.045,1209.19,0,media,4,1272.64,9.72,105.76,0,perda_nao_identificada,0.0998,5150.54,medio
REG_00082,OBRA_028,2025-07-05,REQ_01934,EMP_037,FORN_022,comercial,fechamento,fachada,fachada_fechamento_externo,alta,media,telha_metalica_fechamento,principal,m2,0,1,59.11,1146.48,0.0571,1211.94,1,alta,3,1270.75,39.65,84.61,0,consumo_acima_previsto,0.1084,5001.48,medio
REG_00083,OBRA_016,2025-01-29,REQ_01847,EMP_025,FORN_051,residencial,fechamento,interno,vedacao_drywall,alta,baixa,chapa_drywall,principal,m2,1,1,44.88,2080.57,0.0804,2247.88,0,media,5,2257.66,5.01,172.08,0,consumo_acima_previsto,0.0851,7722.99,medio
REG_00084,OBRA_025,2025-07-22,REQ_02291,EMP_047,FORN_089,industrial,instalacoes,interno,instalacoes_incendio,baixa,media,sprinkler,principal,un,1,0,29.64,158.51,0.0311,163.43,0,media,2,170.36,2.24,9.61,0,sobra_nao_reaproveitavel,0.0747,284.71,medio
REG_00085,OBRA_005,2025-08-10,REQ_01033,EMP_043,FORN_001,comercial,estrutura,interno,estrutura_metalica,baixa,media,chumbador,acessorio,un,0,0,3.85,1004.72,0.052,1056.99,0,media,4,1129.95,36.1,89.13,0,recorte_ajuste,0.1246,343.14,medio
REG_00086,OBRA_003,2025-07-14,REQ_00008,EMP_016,FORN_062,industrial,acabamento,fachada,esquadrias_metal_vidro,media,media,vidro,principal,m2,1,1,150.82,299.65,0.0496,314.52,0,media,6,318.87,8.34,10.88,0,sobra_nao_reaproveitavel,0.0641,1640.72,baixo
REG_00087,OBRA_009,2025-04-18,REQ_01613,EMP_008,FORN_074,comercial,instalacoes,externo,instalacoes_eletricas,baixa,baixa,disjuntor,acessorio,un,1,0,64.89,1552.53,0.01,1568.06,0,baixa,3,1573.95,4.17,17.25,0,consumo_acima_previsto,0.0138,1119.13,baixo
REG_00088,OBRA_022,2025-08-24,REQ_01241,EMP_013,FORN_042,comercial,instalacoes,interno,instalacoes_eletricas,media,alta,eletroduto,principal,m,0,1,2.49,473.66,0.0591,501.66,0,baixa,6,534.09,27.77,32.65,0,recorte_ajuste,0.1276,81.3,medio
REG_00089,OBRA_003,2025-07-18,REQ_01304,EMP_003,FORN_004,industrial,instalacoes,externo,instalacoes_incendio,media,alta,tubo_incendio,principal,m,0,1,68.33,1997.34,0.043,2083.2,0,baixa,7,2198.82,41.0,160.48,0,erro_execucao,0.1009,10965.48,medio
REG_00090,OBRA_012,2025-04-02,REQ_00475,EMP_017,FORN_021,residencial,instalacoes,interno,instalacoes_eletricas,media,media,disjuntor,acessorio,un,1,0,66.18,1314.27,0.0243,1346.24,0,media,7,1397.79,12.62,70.9,0,erro_execucao,0.0635,4692.34,baixo
REG_00091,OBRA_019,2025-01-25,REQ_01010,EMP_030,FORN_042,industrial,acabamento,interno,forro,media,alta,placa_forro_mineral,principal,m2,1,1,88.99,1649.73,0.0538,1738.43,0,media,4,1820.32,43.91,126.68,0,sobra_nao_reaproveitavel,0.1034,11273.5,medio
REG_00092,OBRA_019,2025-06-04,REQ_02346,EMP_046,FORN_051,residencial,fechamento,cobertura,cobertura,baixa,media,telha_termoacustica,principal,m2,0,1,120.36,348.51,0.0569,368.34,0,alta,6,386.0,15.78,21.7,0,quebra_dano,0.1076,2611.93,medio
